year,period,institution,sector,fle,public20,source_id,locator
2019,2019-2020,Southern Alberta Institute of Technology,Polytechnic Institutions,13451.957,True,alberta_lers_fle_2024_25,By Sector and Institution!E150
2019,2019-2020,Alberta University of the Arts,Undergraduate Universities,906.4,True,alberta_lers_fle_2024_25,By Sector and Institution!E152
2019,2019-2020,Grant MacEwan University,Undergraduate Universities,12337.726,True,alberta_lers_fle_2024_25,By Sector and Institution!E153
2019,2019-2020,Mount Royal University,Undergraduate Universities,10487.038,True,alberta_lers_fle_2024_25,By Sector and Institution!E154
2020,2020-2021,Athabasca University,Comprehensive Academic and Research Universities,10275.545,True,alberta_lers_fle_2024_25,By Sector and Institution!E157
2020,2020-2021,University of Alberta,Comprehensive Academic and Research Universities,39049.211,True,alberta_lers_fle_2024_25,By Sector and Institution!E158
2020,2020-2021,University of Calgary,Comprehensive Academic and Research Universities,32196.45,True,alberta_lers_fle_2024_25,By Sector and Institution!E159
2020,2020-2021,University of Lethbridge,Comprehensive Academic and Research Universities,7180.304,True,alberta_lers_fle_2024_25,By Sector and Institution!E160
2020,2020-2021,Bow Valley College,Comprehensive Community Colleges,7488.3,True,alberta_lers_fle_2024_25,By Sector and Institution!E162
2020,2020-2021,Keyano College,Comprehensive Community Colleges,970.405,True,alberta_lers_fle_2024_25,By Sector and Institution!E163
2020,2020-2021,Lakeland College,Comprehensive Community Colleges,1901.085,True,alberta_lers_fle_2024_25,By Sector and Institution!E164
2020,2020-2021,Medicine Hat College,Comprehensive Community Colleges,1903.888,True,alberta_lers_fle_2024_25,By Sector and Institution!E165
2020,2020-2021,NorQuest College,Comprehensive Community Colleges,7644.956,True,alberta_lers_fle_2024_25,By Sector and Institution!E166
2020,2020-2021,Northern Lakes College,Comprehensive Community Colleges,1341.131,True,alberta_lers_fle_2024_25,By Sector and Institution!E167
2020,2020-2021,Olds College,Comprehensive Community Colleges,1394.056,True,alberta_lers_fle_2024_25,By Sector and Institution!E168
2020,2020-2021,Portage College,Comprehensive Community Colleges,875.323,True,alberta_lers_fle_2024_25,By Sector and Institution!E169
2020,2020-2021,Ambrose University,Independent Academic Institutions,504.817,False,alberta_lers_fle_2024_25,By Sector and Institution!E171
